state,x,y
Acre,-384,114
Alagoas,459,116
Amapá,64,401
Amazonas,-264,260
Bahia,317,53
Ceará,378,241
Distrito Federal,166,-39
Espírito Santo,356,-137
Goiás,104,-58
Maranhão,233,233
Mato Grosso,-39,38
Mato Grosso Do Sul,-14,-152
Minas Gerais,249,-108
Pará,36,247
Paraíba,469,185
Paraná,59,-263
Pernambuco,420,151
Piauí,293,166
Rio De Janeiro,302,-212
Rio Grande Do Norte,458,224
Rio Grande Do Sul,22,-396
Rondônia,-230,95
Roraima,-174,416
Santa Catarina,107,-332
São Paulo,144,-200
Sergipe,435,93
Tocantins,150,102